ID,DATASET,curated_smiles,component1,component2
UNPD_subset_A_9865,UNPD-A,COc1ccc(C2=C(c3ccc(OC)c(OC)c3)C[C@H]3CCCN3C2)cc1,-35.186302185058594,-22.196435928344727
UNPD_subset_A_9866,UNPD-A,Cc1cc(Cl)c2c(C)ccc(C(C)C)cc1-2,17.28526496887207,-4.809335708618164
UNPD_subset_A_9867,UNPD-A,COc1cc(OC)c([C@@H]2[C@@H](C)[C@@H](C)[C@@H]2c2cc(OC)c3c(c2)OCO3)cc1OC,-47.73653030395508,-50.593868255615234
UNPD_subset_A_9868,UNPD-A,COc1cc2nc3occc3c(OC)c2c2c1OC(C)(C)C=C2,80.2532730102539,8.828537940979004
UNPD_subset_A_9869,UNPD-A,C=C1CCC[C@H]2O[C@]2(C)C[C@@H]2[C@@H]1CC2(C)C,-76.75727081298828,9.901597023010254
UNPD_subset_A_9870,UNPD-A,COc1cc(OC)c2nc3occc3c(OC)c2c1,80.38459777832031,10.77863597869873
UNPD_subset_A_9871,UNPD-A,COc1c2c(cc3c1[C@@]14CCN(C3)[C@@H]1C[C@@H](OC)[C@@H]1O[C@@H]14)OCO2,-9.498273849487305,-59.17435836791992
UNPD_subset_A_9872,UNPD-A,COc1cc2c(c(OC)c1)-c1cc(OC)c(OC)cc1CC2,-12.419942855834961,-68.49893188476562
UNPD_subset_A_9873,UNPD-A,COc1ccc2c(c1OC)OC[C@H]1c3cc4c(cc3O[C@@H]21)OCO4,17.93562126159668,-47.34259033203125
UNPD_subset_A_9874,UNPD-A,C[C@H]1[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@H](N(C)C)CC[C@]5(C)[C@H]4CC[C@]23CN1C,-47.3328742980957,39.131629943847656
UNPD_subset_A_9875,UNPD-A,C=CC#CC#CC#CC#CC=CC,-18.925899505615234,76.08283996582031
UNPD_subset_A_9863,UNPD-A,COc1cc2c(c3c1OCO3)[C@H](C)N(C)CC2,-19.403156280517578,-64.18048095703125
UNPD_subset_A_9848,UNPD-A,COc1cccc2[nH]c3ccc(C)cc3c12,3.010864019393921,-28.95370864868164
UNPD_subset_A_9847,UNPD-A,C=N[C@@]1([C@@H]2CC[C@@]3(C)CCCC(=C)[C@@H]23)OC1(C)C,-31.178516387939453,16.230867385864258
UNPD_subset_A_9846,UNPD-A,CC1=CC[C@H]2[C@@H]([C@@H]3C1=COC[C@H]3C)C2(C)C,-20.031970977783203,1.1406646966934204
UNPD_subset_A_9819,UNPD-A,Cc1cccc(C)c1C#N,10.650256156921387,16.436492919921875
UNPD_subset_A_9820,UNPD-A,C/C1=C\CC2=CC[C@H](C)[C@@](C)(CC/C(C)=C/CC1)[C@@H]2C,-51.36823272705078,-18.061016082763672
UNPD_subset_A_9821,UNPD-A,C=C1/C=C/[C@H](C(C)C)CC/C(C)=C/CC1,-45.95865249633789,-15.419222831726074
UNPD_subset_A_9822,UNPD-A,CC1=CC[C@]2(CC1)O[C@@H]1CC[C@@]2(C)C1(C)C,-64.25367736816406,-27.798460006713867
UNPD_subset_A_9823,UNPD-A,Cc1ccc2c(n1)C[C@@H]1CC[C@@]2(C)C1(C)C,4.081024646759033,-0.33591657876968384
UNPD_subset_A_9824,UNPD-A,Cc1coc2c1[C@@H]1OC[C@H]3CCC[C@H](C2)[C@@]31C,-76.3031005859375,-17.062362670898438
UNPD_subset_A_9825,UNPD-A,CC#CC#C[C@@H](c1ccccc1OC)[C@@H](C#CC#CC)c1ccccc1OC,-21.83374786376953,76.74561309814453
UNPD_subset_A_9826,UNPD-A,Cc1ccc2cnccc2c1,-3.0640974044799805,-25.98600196838379
UNPD_subset_A_9827,UNPD-A,CC1=CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@]12O[C@@]2(C)c1ccoc1,-25.824899673461914,-21.063812255859375
UNPD_subset_A_9828,UNPD-A,C=C1CC[C@H]2O[C@H]3[C@@H]1[C@]2(C)CC[C@H]3C(C)C,-1.0890905857086182,-4.329219341278076
UNPD_subset_A_9829,UNPD-A,CC(C)[C@H]1/C=C/[C@@]2(C)C/C=C/[C@]3(C)CC[C@@H](O3)[C@](C)(CC1)O2,-20.985429763793945,-7.998547554016113
UNPD_subset_A_9830,UNPD-A,COc1cc(OC)c(N)c(OC)c1,18.561111450195312,-34.27994155883789
UNPD_subset_A_9831,UNPD-A,COc1cc2c(C(C)(C)C)cccc2c(OC)c1OC,-1.9532971382141113,-17.028860092163086
UNPD_subset_A_9832,UNPD-A,COc1cc(-c2ccccn2)nc2cnsc12,22.426259994506836,1.5139609575271606
UNPD_subset_A_9833,UNPD-A,C[S@+]([O-])c1[nH]c2cc(Br)cc(Br)c2c1-c1c([S@@+](C)[O-])[nH]c2cc(Br)cc(Br)c12,-48.07327651977539,-33.67413330078125
UNPD_subset_A_9834,UNPD-A,Cc1cc2c([nH]c3ccccc32)c2c1OC(C)(C)[C@@H]1[C@@H]3CC(C)(C)Oc4c(C)cc5c6ccccc6n(c5c43)[C@H]21,-18.14852523803711,-42.687984466552734
UNPD_subset_A_9835,UNPD-A,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)NCC3,-28.154216766357422,-72.526123046875
UNPD_subset_A_9836,UNPD-A,C/C=C1/CN2CC[C@]34c5ccccc5N5[C@H]3[C@H]([C@@H]1C[C@H]24)[C@@H]1O[C@H]5[C@H]2[C@@H]3N1c1ccccc1[C@@]31CCN3C/C(=C/C)[C@@H]2C[C@H]31,-56.260555267333984,-46.62944030761719
UNPD_subset_A_9837,UNPD-A,C=C1CC[C@H]2[C@@H](C1)C2(C)C,-23.45913314819336,-10.287353515625
UNPD_subset_A_9838,UNPD-A,COc1cc(Br)cc2c1Oc1cc(Br)cc(Br)c1O2,-51.69432067871094,-36.288787841796875
UNPD_subset_A_9839,UNPD-A,CC1=C2Cc3c(C)coc3C[C@@H](C)[C@@H]2CC1,-53.10613250732422,-32.33488845825195
UNPD_subset_A_9840,UNPD-A,Cc1ccnc2ccccc12,-9.80634880065918,-30.983835220336914
UNPD_subset_A_9841,UNPD-A,Cc1cncc2ccncc12,-3.1050913333892822,-25.49883270263672
UNPD_subset_A_9842,UNPD-A,C[C@@H]1[C@H]2CC[C@@H]3[C@H]4CC(C)(C)CC[C@]4(C)CC[C@@]3(C)[C@]2(C)CC[C@]12CC[C@H](C)[C@H]2C,-19.316316604614258,0.6837618350982666
UNPD_subset_A_9843,UNPD-A,C[C@@H]1CC[C@@H]2[C@@H](C)CC=C(c3ccoc3)N2C1,-21.005661010742188,13.199148178100586
UNPD_subset_A_9844,UNPD-A,CC1=C[C@]23CC[C@H]1C[C@H]2[C@]1(C)CCCC(C)(C)[C@H]1CC3,-21.664403915405273,6.321112632751465
UNPD_subset_A_9845,UNPD-A,CC(C)OC(C)OC(C)C,8.336251258850098,-28.910747528076172
UNPD_subset_A_9758,UNPD-A,OCCCCCCCCCCCCCCCCCCCCCC1CCCC1,6.484229564666748,45.19282913208008
UNPD_subset_A_9757,UNPD-A,OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,41.17805862426758,-10.630037307739258
UNPD_subset_A_9756,UNPD-A,OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O[C@@H]3[C@@H](O)[C@@H](O[C@@H]4[C@@H](O)[C@@H](O[C@@H]5[C@@H](O)[C@@H](O[C@@H]6[C@@H](O)[C@@H](O)O[C@H](CO)[C@H]6O)O[C@H](CO)[C@H]5O)O[C@H](CO)[C@H]4O)O[C@H](CO)[C@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,27.632923126220703,39.64651107788086
UNPD_subset_A_9755,UNPD-A,Oc1ccc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2cc(O)c(O)c(O)c2)cc1O,15.509506225585938,-53.90034484863281
UNPD_subset_A_9668,UNPD-A,Oc1cc(O)cc(Oc2c(Oc3c(O)cc(O)cc3O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,10.564451217651367,-78.97709655761719
UNPD_subset_A_9669,UNPD-A,O=C(C=CC1[C@@H](/C=C/C=C/c2ccc3c(c2)OCO3)C(C(=O)N2CCCCC2)[C@H]1c1ccc2c(c1)OCO2)N1CCCCC1,24.836105346679688,9.130391120910645
UNPD_subset_A_9670,UNPD-A,O=C(/C=C/c1ccccc1)O[C@H]1C[C@H]2CC[C@@H](C1)N2,26.077129364013672,10.802422523498535
UNPD_subset_A_9671,UNPD-A,O=CC1=C[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,9.087701797485352,2.6073877811431885
UNPD_subset_A_9672,UNPD-A,Oc1ccc2cc1Oc1ccc(cc1)[C@H](O)C[C@@H](O)CCCC2,-45.397850036621094,-62.376556396484375
UNPD_subset_A_9673,UNPD-A,O=C(O)C=Cc1ccc(O)c(O)c1-c1c(C=CC(=O)O)ccc(O)c1O,55.749366760253906,4.636112213134766
UNPD_subset_A_9674,UNPD-A,Oc1cc2c(cc1Cl)-c1ccc(cc1O)CCc1cc(Cl)c(O)c(c1)-c1cc(ccc1O)CC2,-39.423606872558594,-61.01678466796875
UNPD_subset_A_9675,UNPD-A,O=C1C(O)c2ccc(O)c(O)c2OC1c1ccc(O)c(O)c1,11.383169174194336,-66.71428680419922
UNPD_subset_A_9676,UNPD-A,O=C1C=C2C[C@H]3[C@H](O)C[C@]2(O1)[C@H]1CCCCN31,-39.09489059448242,-8.619545936584473
UNPD_subset_A_9677,UNPD-A,O=C1N[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]2c2cc3c(cc21)OCO3,17.083433151245117,12.210944175720215
UNPD_subset_A_9678,UNPD-A,O=C(O)C1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4cc(O)ccc4O)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O,72.95989227294922,-15.733675956726074
UNPD_subset_A_9679,UNPD-A,O=C(O)n1cc(S(=O)(=O)c2c[nH]c3cc(Br)ccc23)c2ccc(Br)cc21,-40.77840805053711,-37.50937271118164
UNPD_subset_A_9667,UNPD-A,O=Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,0.05145444720983505,-49.061458587646484
UNPD_subset_A_9680,UNPD-A,O=C1c2ccc3ccoc3c2O[C@@H]2COc3cc4c(cc3[C@]12O)OCO4,6.79087495803833,-43.70690155029297
UNPD_subset_A_9682,UNPD-A,O=c1cc(-c2ccccc2)oc2ccc(O)cc12,68.41482543945312,-21.17201042175293
UNPD_subset_A_9683,UNPD-A,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2O[C@H]1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@@H]1O,25.325342178344727,-69.72406005859375
UNPD_subset_A_9684,UNPD-A,O=C1CC[C@H](O)[C@]23C=C[C@@H](O)C4(Oc5cccc6cccc(c56)O4)[C@]12O3,-1.5002474784851074,-29.017728805541992
UNPD_subset_A_9685,UNPD-A,O=C(O[C@@H]1[C@@H](O)[C@@H]2OC(O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(=O)c(=O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)OC[C@H]2O[C@@H]1O)c1ccc(O)c(O)c1O,-5.381836891174316,-75.63133239746094
UNPD_subset_A_9686,UNPD-A,NC(=O)NC(=O)Oc1ccccc1,11.803690910339355,-13.914838790893555
UNPD_subset_A_9687,UNPD-A,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc2c(c1O)C[C@@H](O)[C@@H](c1ccc(O)c(O)c1)O2,22.306455612182617,-72.14231872558594
UNPD_subset_A_9688,UNPD-A,Oc1ccc([C@@H]2OC[C@@H](O)[C@H]2O)cc1O,15.402254104614258,-54.62332534790039
